128 Forest; replaced with Forest
206 Forest; replaced with Forest
282 Island; replaced with Island
35 Mountain; replaced with Mountain
100 Chaos Warp; replaced with Chaos Warp
237 Artisan of Kozilek; replaced with Artisan of Kozilek
541 Raging Ravine; replaced with Raging Ravine
247 Universal Automaton; replaced with Universal Automaton
319 Everflowing Chalice; replaced with Everflowing Chalice
397 Opt; replaced with Opt
149 Swamp; replaced with Swamp
336 Viscera Seer; replaced with Viscera Seer
718 Mahamoti Djinn; replaced with Mahamoti Djinn
186 Condemn; replaced with Condemn
60 Jeskai Revelation; replaced with Jeskai Revelation
1260 Firebreathing; replaced with Firebreathing
694 Reanimate; replaced with Reanimate
852 Shared Trauma; replaced with Shared Trauma
446 Disrupting Scepter; replaced with Disrupting Scepter
382 Phyrexian Rebirth; replaced with Phyrexian Rebirth
1484 Hypersonic Dragon; replaced with Hypersonic Dragon
1172 Swords to Plowshares; replaced with Swords to Plowshares
1340 Whirler Rogue; replaced with Whirler Rogue
1606 Leonin Arbiter; replaced with Leonin Arbiter
20 Umezawa's Jitte; replaced with Umezawa's Jitte
347 Wrath of God; replaced with Wrath of God
268 Gilded Lotus; replaced with Gilded Lotus
838 Blood Crypt; replaced with Blood Crypt
473 Temple of Deceit; replaced with Temple of Deceit
1452 Urza's Tower; replaced with Urza's Tower
104 Mishra's Factory; replaced with Mishra's Factory
915 Altaïr Ibn-La'Ahad; replaced with Altaïr Ibn-La'Ahad
470 Harmonize; replaced with Harmonize
27 Command Tower; replaced with Command Tower
281 Kargan Intimidator; replaced with Kargan Intimidator
1442 Deftblade Elite; replaced with Deftblade Elite
1323 Hill Giant; replaced with Hill Giant
305 Electroduplicate; replaced with Electroduplicate
1555 Noxious Gearhulk; replaced with Noxious Gearhulk
621 Diabolic Tutor; replaced with Diabolic Tutor
1069 Archon of Cruelty; replaced with Archon of Cruelty
31 Regeneration; replaced with Regeneration
251 Mortify; replaced with Mortify
172 Putrefy; replaced with Putrefy
1152 Disintegrate; replaced with Disintegrate
64 Cabal Coffers; replaced with Cabal Coffers
1775 Boros Signet; replaced with Boros Signet
993 Wood Elves; replaced with Wood Elves
932 Rhystic Study; replaced with Rhystic Study
1322 Demolish; replaced with Demolish
594 Ulrich of the Krallenhorde // Ulrich, Uncontested Alpha; replaced with Ulrich of the Krallenhorde // Ulrich, Uncontested Alpha
296 Carrion Feeder; replaced with Carrion Feeder
940 Krosan Tusker; replaced with Krosan Tusker
1057 Foil; replaced with Foil
652 Grand Arbiter Augustin IV; replaced with Grand Arbiter Augustin IV
2101 Aragorn, the Uniter; replaced with Aragorn, the Uniter
2093 Wall of Blossoms; replaced with Wall of Blossoms
1659 Mogg Fanatic; replaced with Mogg Fanatic
1232 Mulldrifter; replaced with Mulldrifter
1821 Chain Reaction; replaced with Chain Reaction
1277 Grist, Voracious Larva // Grist, the Plague Swarm; replaced with Grist, Voracious Larva // Grist, the Plague Swarm
1931 Fabled Passage; replaced with Fabled Passage
2343 Karador, Ghost Chieftain; replaced with Karador, Ghost Chieftain
2510 Gabriel Angelfire; replaced with Gabriel Angelfire
1036 Arachnogenesis; replaced with Arachnogenesis
1443 Bonehoard; replaced with Bonehoard
701 Simic Signet; replaced with Simic Signet
1700 Wrath of God; replaced with Wrath of God
1477 Dimir Signet; replaced with Dimir Signet
2041 Kemba, Kha Regent; replaced with Kemba, Kha Regent
2598 Constricting Sliver; replaced with Constricting Sliver
1117 Atla Palani, Nest Tender; replaced with Atla Palani, Nest Tender
1148 Raise Dead; replaced with Raise Dead
837 Skirk Prospector; replaced with Skirk Prospector
48 Strip Mine; replaced with Strip Mine
1150 Kappa Cannoneer; replaced with Kappa Cannoneer
